Feature,Importance
Encroachments,0.05074394659237298
MonsoonIntensity,0.0506539520268741
CoastalVulnerability,0.05049845470443448
DeterioratingInfrastructure,0.050406851898504586
WetlandLoss,0.050342907584763716
RiverManagement,0.05031951664280305
Siltation,0.050202012998126204
Watersheds,0.05019556658567478
Landslides,0.05017618142238087
DamsQuality,0.05009959281639894
InadequatePlanning,0.050086510219541455
Deforestation,0.0499535901171508
Urbanization,0.049952072339629686
AgriculturalPractices,0.04992611771148437
TopographyDrainage,0.04979172981723102
PoliticalFactors,0.04972733999173547
ClimateChange,0.04949202444859615
DrainageSystems,0.049440206568558125
IneffectiveDisasterPreparedness,0.049016665522163806
PopulationScore,0.048974759991575384
